Dataset,Type,mae,rmse,r2,spearman,roc_auc,pr_auc,f1_at_0.5
ADME.Caco2_Wang,Baseline,0.36171431510658103,0.5019748997699748,0.6033301884398239,0.7244629416396188,,,
ADME.Caco2_Wang,Tuned,0.3880117699028557,0.5187140749986048,0.5764338831378142,0.7586319657418168,,,
ADME.Lipophilicity_AstraZeneca,Baseline,0.6025643351871479,0.7801468389473588,0.5880611845029373,0.7460714057573637,,,
ADME.Lipophilicity_AstraZeneca,Tuned,0.703580760892154,0.9008170203907168,0.4507713594546645,0.6880701157437032,,,
ADME.Solubility_AqSolDB,Baseline,0.9857239404628587,1.3201069105963044,0.6788682014635681,0.8141323334440612,,,
ADME.Solubility_AqSolDB,Tuned,0.9485328585788358,1.284479045850513,0.6959681023061823,0.8260966993057041,,,
ADME.PPBR_AZ,Baseline,9.244442406149984,13.917035695184103,0.20044463633047593,0.5492742712572128,,,
ADME.PPBR_AZ,Tuned,10.312061943646935,14.456788257614372,0.1372227220916351,0.4876781653284717,,,
ADME.VDss_Lombardo,Baseline,4.88632470424625,10.033694284212519,-1.1565917228517653,0.44109792356985805,,,
ADME.VDss_Lombardo,Tuned,3.9873083471417425,6.701157146493078,0.038064815132564545,0.468041888916929,,,
ADME.Half_Life_Obach,Baseline,33.68856159070319,104.48072337101677,0.2389863296230319,0.3170678863546392,,,
ADME.Half_Life_Obach,Tuned,32.890626757966,109.50293436534142,0.1640666902877692,0.28197518293496915,,,
ADME.Clearance_Hepatocyte_AZ,Baseline,34.506856653506844,47.64345105948421,0.09065835566864477,0.4347429848489517,,,
ADME.Clearance_Hepatocyte_AZ,Tuned,33.39783499870007,44.99160423113249,0.1890695396480948,0.46931014281097644,,,
ADME.Clearance_Microsome_AZ,Baseline,26.346464025286,38.94014870478293,0.1983977989284179,0.587291071801685,,,
ADME.Clearance_Microsome_AZ,Tuned,28.12733638236088,40.53557045576328,0.1313671128123981,0.5325221119193536,,,
ADME.Bioavailability_Ma,Baseline,,,,,0.6864035087719299,0.8250400491570926,0.8241206030150754
ADME.Bioavailability_Ma,Tuned,,,,,0.681140350877193,0.8351038965530833,0.8472906403940886
ADME.HIA_Hou,Baseline,,,,,0.9278350515463918,0.982692089994569,0.9552238805970149
ADME.HIA_Hou,Tuned,,,,,0.8442756375474769,0.962419307354399,0.9320388349514563
ADME.Pgp_Broccatelli,Baseline,,,,,0.9214540079285091,0.9395385521355315,0.8536585365853658
ADME.Pgp_Broccatelli,Tuned,,,,,0.8965262379896527,0.9184298672703161,0.8154506437768241
ADME.BBB_Martins,Baseline,,,,,0.8913294242045564,0.9553521256560551,0.9107981220657277
ADME.BBB_Martins,Tuned,,,,,0.8855298151174341,0.9510103296944681,0.9032258064516129
ADME.CYP2C9_Veith,Baseline,,,,,0.8927030859488647,0.7924163488406685,0.731016731016731
ADME.CYP2C9_Veith,Tuned,,,,,0.8769171208195599,0.7710012646428263,0.6578212290502793
ADME.CYP2D6_Veith,Baseline,,,,,0.8525855326718704,0.6614981267093628,0.5703422053231939
ADME.CYP2D6_Veith,Tuned,,,,,0.8535243409652042,0.6652803521906512,0.49142857142857144
ADME.CYP3A4_Veith,Baseline,,,,,0.8770263695234838,0.8409770189890906,0.7464212678936605
ADME.CYP3A4_Veith,Tuned,,,,,0.8504434279091198,0.8096789999369693,0.6953748006379585
ADME.CYP2C9_Substrate_CarbonMangels,Baseline,,,,,0.6973001038421599,0.33905859906799163,0.26666666666666666
ADME.CYP2C9_Substrate_CarbonMangels,Tuned,,,,,0.6914157147802008,0.3048471596310177,0.10810810810810811
ADME.CYP2D6_Substrate_CarbonMangels,Baseline,,,,,0.6622390891840606,0.44822594620518275,0.417910447761194
ADME.CYP2D6_Substrate_CarbonMangels,Tuned,,,,,0.6903858317520556,0.48934111265656405,0.42857142857142855
ADME.CYP3A4_Substrate_CarbonMangels,Baseline,,,,,0.5876587213187793,0.5567547771163446,0.5652173913043478
ADME.CYP3A4_Substrate_CarbonMangels,Tuned,,,,,0.6553798173312542,0.60408720971407,0.6330935251798561
Tox.hERG,Baseline,,,,,0.8183364254792826,0.921912834713388,0.8975609756097561
Tox.hERG,Tuned,,,,,0.8034941249226963,0.9176427935006806,0.8888888888888888
Tox.AMES,Baseline,,,,,0.9030431321464756,0.9193714551212563,0.8451935081148564
Tox.AMES,Tuned,,,,,0.8987990492949699,0.915095200754896,0.8175937904269082
Tox.DILI,Baseline,,,,,0.8195921985815603,0.830247103076198,0.7551020408163265
Tox.DILI,Tuned,,,,,0.8519503546099291,0.8603260563610735,0.8210526315789474
Tox.LD50_Zhu,Baseline,0.4495054120493209,0.5977740715145123,0.6000329474536987,0.7175458814542892,,,
Tox.LD50_Zhu,Tuned,0.4647347209953847,0.6165560963875784,0.5745042141528903,0.7079846711324623,,,
